kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
4143755,K00281.01,Kepler-510 b,CONFIRMED,19.55662003,189.04354,298.9,0.606,8.087,0.01649,5671.0,4.094,1.36,287.655,39.244289
11244137,K02994.01,Kepler-1402 b,CONFIRMED,2.03387483,131.91927,73.6,0.238,3.097,0.007727,5282.0,3.913,1.899,291.84781,48.968128
6072593,K03070.01,,FALSE POSITIVE,5.07538255,133.92978,163.1,0.919,1.7,0.014213,5933.0,4.334,1.118,299.44733,41.398121
5865654,K03071.01,Kepler-1423 b,CONFIRMED,23.9553986,146.66221,228.7,0.669,3.204,0.014603,5011.0,3.903,1.781,288.24377,41.110081
8197560,K03074.01,,FALSE POSITIVE,1.02425556,131.49437,1631.7,1.312,2.6439,0.357521,5337.0,4.594,0.764,300.97794,44.089069
11200415,K00293.01,,FALSE POSITIVE,4.63958598,172.21917,83.4,0.014,2.768,0.008451,6591.0,4.024,1.646,296.35733,48.86372
11259686,K00294.01,Kepler-512 b,CONFIRMED,34.4359387,193.038,424.5,0.017,5.82,0.018691,5929.0,4.243,1.363,298.26895,48.91674
11547513,K00295.01,Kepler-134 b,CONFIRMED,5.317440164,171.875619,292.5,0.72,2.9331,0.016817,5923.0,4.377,1.054,284.73904,49.5984
11547513,K00295.02,Kepler-134 c,CONFIRMED,10.10575764,135.50958,116.8,0.828,2.0138,0.011144,5923.0,4.377,1.054,284.73904,49.5984
11802615,K00296.01,Kepler-513 b,CONFIRMED,28.86236571,178.48498,449.2,0.778,5.4033,0.021303,5725.0,4.326,1.088,285.04169,50.075378
11442793,K00351.02,Kepler-90 g,CONFIRMED,210.6013843,147.056867,4159.3,0.002,11.9922,0.058748,5970.0,4.317,1.2,284.4335,49.305161
11442793,K00351.03,Kepler-90 d,CONFIRMED,59.7371443,158.95974,566.4,0.005,8.0006,0.021678,5970.0,4.317,1.2,284.4335,49.305161
2445975,K00053.01,,FALSE POSITIVE,3.388887193,172.259054,11267.8,0.387,2.4475,0.098136,5780.0,4.438,1.0,292.03091,37.773529
11521793,K00352.01,Kepler-143 c,CONFIRMED,27.08239734,191.80728,423.2,0.915,5.0119,0.022782,5857.0,4.204,1.305,298.06769,49.412601
11566064,K00353.02,Kepler-1717 b,CONFIRMED,30.6528935,135.04211,269.7,0.682,4.99,0.015968,6200.0,4.072,1.64,295.21268,49.56218
6531496,K03646.02,,FALSE POSITIVE,0.512869432,132.01554,2313.0,1.263,4.015,0.318442,5853.0,4.529,0.895,294.59052,41.94651
3848275,K02995.01,Kepler-1403 b,CONFIRMED,5.19492747,131.62458,272.9,0.093,3.167,0.015196,6415.0,4.374,1.224,290.86771,38.960121
12021625,K02996.01,Kepler-1404 b,CONFIRMED,15.9314412,141.81212,556.7,0.604,2.435,0.022469,5380.0,4.616,0.721,296.00943,50.498379
9777256,K02997.01,,FALSE POSITIVE,1.33251589,132.0842,140.5,0.53,4.216,0.011156,5701.0,4.291,1.068,294.53619,46.50983
4175630,K02998.01,Kepler-1405 b,CONFIRMED,28.227413,141.49504,1113.4,0.025,5.782,0.030469,5858.0,4.553,0.849,295.68484,39.256142
7433585,K02999.01,,FALSE POSITIVE,0.545544979,131.72408,92.6,0.604,1.954,0.009218,6050.0,4.509,0.92,288.14764,43.099709
6665223,K01232.02,,FALSE POSITIVE,419.97507836,524.8465031,275.1,0.68,12.1687,0.016067,5316.0,4.477,0.872,281.74261,42.123081
3328080,K03075.01,Kepler-1898 b,CONFIRMED,4.76559056,133.50531,67.5,0.14,2.2,0.007495,5702.0,4.258,1.125,287.20587,38.498055
8430964,K03078.01,Kepler-1900 b,CONFIRMED,2.98618134,133.46926,122.9,0.249,2.969,0.010222,6173.0,4.447,1.041,291.88632,44.478981
3654719,K03081.01,,FALSE POSITIVE,25.9200092,138.1757,331.4,0.054,5.609,0.016641,5517.0,4.631,0.704,293.77737,38.775459
6021275,K00284.03,Kepler-132 b,CONFIRMED,6.17817366,168.8626,101.9,0.775,3.2601,0.010125,5931.0,4.322,1.101,283.23581,41.34304
10619142,K03082.01,,FALSE POSITIVE,2.04516705,132.36168,154.8,0.74,3.625,0.01232,9206.0,4.112,2.157,298.38052,47.836048
11905011,K00297.01,Kepler-514 b,CONFIRMED,5.65178922,172.27915,134.1,0.906,3.0933,0.012704,6085.0,4.218,1.463,286.24719,50.242409
12785320,K00298.01,Kepler-515 b,CONFIRMED,19.96367208,178.30806,270.9,0.846,2.6403,0.017335,5250.0,4.541,0.79,290.49426,52.055519
